proof	cbmc_time_s	wall_s	status
proof_v16_public_market_activation_starts_domains_unfunded_and_value_neutral	74.83409	79	PASS
proof_v16_public_market_capacity_growth_is_monotone_and_value_neutral	6.1517205	9	PASS
proof_v16_public_market_capacity_growth_rejects_invalid_requests_without_mutation	5.781279	9	PASS
proof_v16_public_materialized_portfolio_deregister_is_value_neutral	56.352577	61	PASS
proof_v16_public_materialized_portfolio_deregister_rejects_value_state_before_mutation	42.69836	47	PASS
proof_v16_public_materialized_portfolio_register_is_value_neutral	56.301983	62	PASS
proof_v16_public_materialized_portfolio_register_rejects_value_state_before_mutation	42.970535	47	PASS
proof_v16_public_permissionless_empty_market_crank_advances_clock_without_value_movement	132.5107	142	PASS
proof_v16_public_raw_oracle_target_update_is_value_neutral	139.47906	144	PASS
proof_v16_public_resolve_market_is_value_neutral_and_clears_loss_stale	169.8229	174	PASS
proof_v16_public_resolved_bound_refinement_is_monotone_and_value_neutral	48.7973	52	PASS
proof_v16_public_resolved_close_flat_account_pays_only_capital_and_vault	594.84814	605	PASS
proof_v16_public_resolved_payout_topup_pays_min_claimable_and_vault	138.77946	143	PASS
proof_v16_public_restart_asset_zero_preserves_only_selected_slot_in_two_slot_view	91.84548	96	PASS
proof_v16_public_restart_empty_asset_zero_preserves_budgets_and_senior_value	47.248848	52	PASS
proof_v16_public_restart_nonzero_asset_preserves_only_selected_slot_in_two_slot_view	92.791626	97	PASS
proof_v16_public_restart_rejects_spent_domain_before_mutation	40.59059	45	PASS
proof_v16_recovery_mode_blocks_fee_sync_and_pnl_conversion_before_mutation	289.92188	298	PASS
proof_v16_recovery_mode_blocks_withdraw	147.61792	153	PASS
proof_v16_reserved_domain_insurance_cannot_be_double_spent_by_bankruptcy	209.16815	215	PASS
proof_v16_residual_excludes_recoverable_counterparty_backing_principal	667.3577	672	PASS
proof_v16_residual_excludes_senior_backing_provider_earnings	118.20624	122	PASS
proof_v16_residual_reconciles_with_senior_stock	211.06584	215	PASS
proof_v16_residual_reward_credit_is_capped_by_principal_and_crystallized_loss	9.486031	12	PASS
proof_v16_resolved_external_payout_requires_exact_capital_plus_claim_sources	2.7532575	6	PASS
proof_v16_resolved_receipt_claimable_is_rate_monotone_and_overpaid_fails_closed	10.499944	13	PASS
proof_v16_resolved_receipt_payment_cannot_exceed_terminal_claim	3.7553775	6	PASS
proof_v16_resolved_residual_booking_without_loss_bearing_side_is_explicit_only	50.099976	55	PASS
proof_v16_resolved_winddown_releases_expired_liened_source_claim	0.1627038	3	PASS
proof_v16_resolved_winddown_releases_impaired_insurance_lien	0.6612604	3	PASS
proof_v16_resolved_winddown_releases_liened_source_claim	0.15687118	3	PASS
proof_v16_restart_empty_asset_core_preserves_budgets_and_assigns_fresh_market	9.553452	13	PASS
